trial_id,participant_id,age,gender,height_cm,weight_kg,surface,shoes,false_start,total_time_sec,performance_band,timestamp_ms,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,split_1_sec,split_2_sec,split_3_sec,split_4_sec,max_velocity_ms,avg_velocity_ms,stride_length_cm,stride_frequency_hz,avg_turn_time_ms,change_of_direction_deficit,acceleration_time_sec,deceleration_time_sec,reaction_time_ms,fatigue_index,coordination_score,balance_score,agility_rating,knee_lift_angle_deg,arm_swing_amplitude_deg,body_lean_angle_deg,foot_strike_pattern,balance_recovery_time_ms,hr_baseline_bpm,hr_peak_bpm,hr_recovery_30s_bpm
SH0011,P011,16,M,187.7,55.1,grass,running_shoes,0,13.9,Below Average,1704080100000,2.21,-0.34,10.42,0.649,-0.304,-1.034,3.32,3.67,3.21,3.7,2.42,2.88,189.0,3.4,408.0,0.16,1.76,1.18,192.0,0.11,9.5,8.9,9.2,86.0,128.0,25.0,forefoot,212.0,76.0,129.0,96.0
SH0012,P012,18,F,150.0,55.8,grass,turf_shoes,0,15.39,Below Average,1704080130000,1.25,0.76,8.71,0.644,0.005,0.783,3.47,3.74,4.13,4.06,2.41,2.6,177.0,3.9,575.0,0.42,1.56,0.98,269.0,0.33,7.3,8.7,9.0,63.0,110.0,9.0,forefoot,232.0,78.0,132.0,114.0
SH0013,P013,26,M,178.3,63.2,grass,basketball_shoes,0,13.2,Average,1704080160000,-2.08,0.6,8.65,0.515,0.206,-1.005,3.65,3.56,3.43,2.56,2.53,3.03,163.0,3.1,618.0,0.49,1.65,1.05,152.0,0.21,9.6,6.4,8.0,62.0,87.0,10.0,midfoot,324.0,72.0,150.0,128.0
SH0014,P014,23,M,176.9,78.3,rubberized_floor,cross_trainers,0,11.51,Good,1704080190000,-1.38,1.39,8.52,0.752,-0.457,0.939,2.89,2.94,2.97,2.71,3.51,3.47,167.0,3.9,624.0,0.39,1.92,0.83,218.0,0.27,7.1,9.8,9.6,70.0,91.0,16.0,forefoot,275.0,62.0,141.0,106.0
SH0015,P015,22,M,177.7,92.5,concrete,turf_shoes,0,12.86,Average,1704080220000,0.92,-1.01,10.32,0.516,0.45,0.542,2.85,3.15,3.37,3.48,3.25,3.11,199.0,3.2,583.0,0.4,1.5,1.38,212.0,0.15,9.4,9.4,7.9,62.0,132.0,22.0,heel,399.0,71.0,142.0,108.0
SH0016,P016,32,M,170.4,64.6,grass,running_shoes,0,13.92,Below Average,1704080250000,-0.25,-1.11,10.41,0.17,-0.271,0.412,3.71,3.49,3.68,3.04,3.01,2.87,173.0,3.8,508.0,0.54,1.52,0.88,256.0,0.12,6.1,9.0,8.5,65.0,81.0,14.0,forefoot,218.0,69.0,145.0,123.0
SH0017,P017,16,F,172.5,58.7,concrete,basketball_shoes,0,14.83,Below Average,1704080280000,1.81,1.35,8.79,0.683,-0.008,-0.58,3.48,3.46,3.49,4.41,2.65,2.7,132.0,3.2,604.0,0.17,1.71,0.91,250.0,0.11,7.4,9.6,7.9,67.0,82.0,11.0,forefoot,153.0,62.0,107.0,82.0
SH0018,P018,33,F,152.3,52.5,gym_floor,turf_shoes,0,13.14,Average,1704080310000,0.02,0.57,8.58,0.479,0.128,-1.004,3.48,3.12,3.13,3.41,3.5,3.04,145.0,3.7,558.0,0.41,1.5,1.08,257.0,0.36,9.0,6.1,7.0,78.0,112.0,10.0,forefoot,260.0,65.0,116.0,93.0
SH0019,P019,29,M,169.8,57.0,grass,cross_trainers,0,13.6,Below Average,1704080340000,1.45,-0.0,8.67,0.059,0.087,0.589,3.46,3.32,3.66,3.16,2.86,2.94,176.0,3.4,478.0,0.15,1.32,0.95,176.0,0.36,6.6,6.7,7.1,63.0,111.0,15.0,heel,134.0,68.0,147.0,114.0
SH0020,P020,32,F,168.2,52.2,rubberized_floor,turf_shoes,0,13.34,Average,1704080370000,-1.65,0.51,10.36,0.091,0.072,-0.528,3.13,3.13,3.39,3.69,3.32,3.0,141.0,3.9,480.0,0.18,1.58,1.12,160.0,0.4,6.2,7.3,6.5,71.0,129.0,12.0,midfoot,328.0,72.0,131.0,108.0
SH0021,P021,27,F,166.0,56.0,gym_floor,cross_trainers,0,13.26,Average,1704080400000,2.19,-0.96,8.63,0.386,0.074,0.82,3.57,3.4,3.33,2.97,2.58,3.02,145.0,4.3,466.0,0.3,1.85,1.06,262.0,0.23,7.5,7.9,7.2,68.0,134.0,15.0,forefoot,372.0,72.0,117.0,83.0
SH0022,P022,17,M,170.2,52.3,synthetic_track,cross_trainers,0,11.55,Good,1704080430000,-1.8,0.88,9.74,0.054,0.394,0.693,2.94,3.01,3.06,2.54,2.98,3.46,161.0,4.2,467.0,0.16,1.88,0.88,184.0,0.3,7.6,9.2,6.6,85.0,118.0,20.0,forefoot,176.0,67.0,114.0,81.0
SH0023,P023,28,M,160.8,88.0,concrete,turf_shoes,0,14.46,Below Average,1704080460000,-1.73,0.26,9.51,0.178,-0.482,0.893,3.31,3.66,3.68,3.81,3.24,2.77,165.0,4.1,661.0,0.57,1.94,1.07,169.0,0.37,6.5,9.9,9.4,90.0,111.0,18.0,forefoot,116.0,67.0,139.0,124.0
SH0024,P024,29,F,161.6,47.9,rubberized_floor,running_shoes,0,13.0,Average,1704080490000,0.19,1.26,9.19,-0.245,0.238,-0.115,3.19,3.46,3.18,3.17,2.74,3.08,157.0,3.9,459.0,0.11,1.73,0.91,163.0,0.4,9.8,6.6,7.7,78.0,116.0,9.0,midfoot,163.0,78.0,126.0,107.0
SH0025,P025,18,F,161.8,52.6,grass,running_shoes,0,14.8,Below Average,1704080520000,1.38,-0.14,9.55,-0.095,-0.099,0.143,3.5,3.79,3.65,3.87,2.33,2.7,126.0,3.2,595.0,0.46,1.73,0.82,153.0,0.09,6.9,6.9,8.7,88.0,91.0,19.0,forefoot,130.0,65.0,134.0,102.0
SH0026,P026,20,F,162.7,54.4,synthetic_track,basketball_shoes,0,13.59,Below Average,1704080550000,0.84,-0.89,9.09,0.634,-0.487,-0.995,3.72,3.57,3.31,2.99,2.6,2.94,139.0,3.6,452.0,0.4,1.41,1.17,194.0,0.38,7.6,8.2,7.7,87.0,88.0,23.0,forefoot,368.0,76.0,133.0,118.0
SH0027,P027,20,M,177.5,49.5,grass,spikes,0,11.55,Good,1704080580000,-1.8,1.0,10.47,0.041,-0.328,-0.546,2.92,2.96,3.04,2.63,2.8,3.46,152.0,3.0,535.0,0.17,1.92,1.32,176.0,0.37,8.4,8.4,8.7,75.0,103.0,17.0,forefoot,150.0,75.0,118.0,91.0
SH0028,P028,19,F,167.2,51.9,gym_floor,spikes,0,11.87,Good,1704080610000,-1.06,-0.43,9.94,-0.325,0.066,-0.057,2.8,3.01,2.75,3.3,3.59,3.37,152.0,3.9,539.0,0.27,1.82,0.86,253.0,0.2,6.3,8.9,8.0,69.0,129.0,22.0,midfoot,182.0,72.0,126.0,109.0
SH0029,P029,31,M,174.4,77.4,rubberized_floor,basketball_shoes,0,13.17,Average,1704080640000,1.86,0.7,10.11,0.254,0.192,0.838,2.93,3.4,3.52,3.32,2.73,3.04,151.0,3.9,630.0,0.56,1.23,1.22,292.0,0.22,7.2,9.7,9.9,90.0,131.0,13.0,midfoot,111.0,72.0,121.0,104.0
SH0030,P030,18,F,152.7,60.2,grass,cross_trainers,0,15.7,Below Average,1704080670000,-0.8,0.67,8.63,-0.296,0.039,0.698,3.48,4.16,3.62,4.44,2.36,2.55,173.0,3.8,595.0,0.57,1.84,1.4,222.0,0.27,7.4,9.1,7.6,91.0,139.0,21.0,forefoot,226.0,75.0,124.0,107.0
SH0031,P031,33,M,164.2,59.0,synthetic_track,turf_shoes,0,11.07,Very Good,1704080700000,-2.29,-1.45,10.48,-0.116,-0.116,0.431,3.02,2.96,2.75,2.33,3.21,3.61,177.0,3.3,580.0,0.6,1.39,1.37,185.0,0.11,8.6,8.4,8.1,68.0,91.0,21.0,forefoot,117.0,79.0,155.0,121.0
SH0032,P032,32,M,168.9,87.0,gym_floor,turf_shoes,0,13.3,Average,1704080730000,0.98,-1.04,10.13,-0.441,-0.276,0.089,3.03,3.53,3.57,3.17,3.12,3.01,192.0,4.2,527.0,0.43,1.64,0.85,259.0,0.22,7.6,7.5,7.0,63.0,93.0,20.0,forefoot,355.0,70.0,129.0,102.0
SH0033,P033,20,F,158.6,68.4,rubberized_floor,spikes,0,13.54,Below Average,1704080760000,-1.16,1.14,10.09,0.254,0.351,0.882,3.59,3.2,3.59,3.16,3.2,2.95,173.0,3.0,654.0,0.51,1.3,1.0,275.0,0.23,9.0,6.6,9.3,60.0,97.0,18.0,heel,290.0,65.0,131.0,105.0
SH0034,P034,21,M,189.8,66.3,grass,turf_shoes,0,12.18,Good,1704080790000,1.31,0.12,10.43,-0.253,0.133,1.037,3.2,2.83,3.08,3.06,2.76,3.28,161.0,3.9,549.0,0.12,1.9,1.38,264.0,0.06,9.9,9.0,6.5,61.0,99.0,16.0,midfoot,305.0,69.0,120.0,85.0
SH0035,P035,26,F,151.9,45.0,rubberized_floor,turf_shoes,0,12.66,Average,1704080820000,0.97,-0.84,8.66,0.289,0.155,-0.544,3.27,3.11,3.05,3.23,3.73,3.16,179.0,3.6,543.0,0.55,1.38,0.93,280.0,0.22,6.1,8.6,7.5,94.0,91.0,23.0,midfoot,331.0,77.0,147.0,120.0
SH0036,P036,22,M,171.0,72.4,grass,running_shoes,0,13.56,Below Average,1704080850000,1.48,-0.06,8.73,-0.6,0.186,-0.167,3.63,3.29,3.37,3.27,2.6,2.95,141.0,3.1,476.0,0.3,1.58,1.16,267.0,0.06,7.2,8.8,9.4,77.0,86.0,12.0,heel,143.0,70.0,135.0,106.0
SH0037,P037,22,M,173.2,70.3,synthetic_track,running_shoes,0,11.38,Very Good,1704080880000,-2.06,-0.45,8.57,-0.674,-0.103,-0.881,2.57,2.91,2.94,2.96,3.61,3.52,142.0,4.4,532.0,0.13,1.63,1.23,201.0,0.34,9.5,8.9,9.2,63.0,134.0,17.0,midfoot,236.0,73.0,134.0,104.0
SH0038,P038,16,M,158.7,62.2,synthetic_track,running_shoes,0,12.01,Good,1704080910000,1.86,-0.84,10.45,-0.261,-0.318,0.695,3.36,3.23,3.07,2.34,3.54,3.33,152.0,4.0,550.0,0.14,1.22,0.95,261.0,0.2,7.9,9.5,8.9,72.0,102.0,25.0,forefoot,360.0,72.0,129.0,100.0
SH0039,P039,17,M,183.6,69.5,grass,turf_shoes,0,12.45,Good,1704080940000,-1.12,0.28,10.32,-0.463,0.123,0.316,2.92,3.35,2.95,3.23,3.51,3.21,191.0,3.7,542.0,0.22,1.9,1.07,175.0,0.19,8.1,7.4,8.4,94.0,95.0,19.0,forefoot,332.0,63.0,141.0,117.0
SH0040,P040,19,F,168.2,58.8,gym_floor,turf_shoes,0,12.17,Good,1704080970000,-0.81,0.99,9.36,-0.402,0.117,0.496,3.02,3.21,3.19,2.74,2.85,3.29,157.0,4.3,501.0,0.2,1.29,0.96,156.0,0.09,6.2,8.1,9.7,76.0,136.0,13.0,forefoot,112.0,63.0,142.0,108.0
SH0041,P041,21,M,182.3,74.2,synthetic_track,turf_shoes,0,10.9,Very Good,1704081000000,-0.06,0.5,8.78,-0.752,-0.192,0.491,2.69,2.88,2.58,2.74,3.23,3.67,182.0,4.3,601.0,0.57,1.75,1.1,155.0,0.38,8.5,9.5,8.3,84.0,121.0,12.0,midfoot,218.0,73.0,117.0,89.0
SH0042,P042,28,F,150.0,57.4,synthetic_track,running_shoes,0,14.28,Below Average,1704081030000,1.85,0.85,9.63,0.382,0.379,-0.23,3.52,3.75,3.35,3.66,2.61,2.8,155.0,3.0,679.0,0.26,1.49,1.04,186.0,0.18,8.8,7.6,7.8,68.0,84.0,18.0,midfoot,286.0,69.0,124.0,92.0
SH0043,P043,25,M,155.0,97.5,gym_floor,cross_trainers,0,15.03,Below Average,1704081060000,0.4,0.1,9.72,0.424,0.313,0.523,4.12,3.6,4.01,3.3,3.15,2.66,144.0,4.4,409.0,0.28,1.28,1.09,270.0,0.24,7.0,7.1,7.2,71.0,117.0,20.0,forefoot,224.0,62.0,110.0,81.0
SH0044,P044,29,M,161.8,71.3,concrete,cross_trainers,0,12.8,Average,1704081090000,1.05,-1.18,9.63,-0.389,0.463,-0.039,3.28,3.36,3.4,2.76,3.51,3.13,154.0,3.3,572.0,0.41,1.53,1.3,267.0,0.15,9.6,7.4,6.9,89.0,105.0,19.0,forefoot,287.0,69.0,132.0,114.0
SH0045,P045,22,M,180.1,75.0,concrete,spikes,0,10.93,Very Good,1704081120000,-2.38,0.43,9.71,0.075,-0.268,-0.262,2.67,2.7,2.83,2.73,3.8,3.66,182.0,4.5,590.0,0.16,1.28,1.23,163.0,0.36,8.3,7.1,6.3,67.0,99.0,12.0,forefoot,121.0,70.0,113.0,82.0
SH0046,P046,32,M,174.0,72.8,synthetic_track,cross_trainers,0,11.65,Good,1704081150000,1.9,0.45,9.57,-0.281,-0.167,0.407,2.61,2.94,3.13,2.98,4.11,3.43,151.0,4.0,602.0,0.2,1.63,0.86,250.0,0.33,7.8,9.0,7.4,92.0,94.0,15.0,forefoot,398.0,79.0,140.0,108.0
SH0047,P047,30,F,178.2,61.9,gym_floor,turf_shoes,0,13.1,Average,1704081180000,-1.86,0.98,10.06,0.334,-0.464,-0.472,3.12,3.22,3.25,3.51,2.76,3.05,158.0,3.8,542.0,0.56,1.6,1.4,167.0,0.34,9.4,6.8,9.7,73.0,133.0,23.0,midfoot,337.0,66.0,109.0,86.0
SH0048,P048,20,F,159.8,63.4,synthetic_track,turf_shoes,0,12.62,Average,1704081210000,-0.77,1.43,9.78,0.516,-0.367,0.869,3.16,3.1,2.98,3.38,3.7,3.17,145.0,3.1,554.0,0.11,1.31,1.38,197.0,0.23,8.2,9.9,7.7,75.0,86.0,19.0,forefoot,286.0,73.0,119.0,103.0
SH0049,P049,29,F,160.5,72.9,concrete,spikes,0,14.73,Below Average,1704081240000,2.42,-0.78,8.78,-0.606,-0.197,-0.957,3.79,3.57,3.76,3.62,2.92,2.72,154.0,3.6,598.0,0.17,1.91,1.07,274.0,0.31,6.8,7.5,7.7,87.0,81.0,15.0,forefoot,106.0,65.0,136.0,118.0
SH0050,P050,30,M,172.3,52.3,gym_floor,basketball_shoes,0,12.35,Good,1704081270000,-2.44,-0.78,10.45,0.482,0.46,-0.029,3.08,2.91,3.0,3.36,2.73,3.24,184.0,3.7,543.0,0.29,1.52,1.08,268.0,0.16,9.1,9.6,9.8,84.0,106.0,12.0,midfoot,112.0,78.0,136.0,109.0
SH0051,P051,16,M,180.9,73.6,grass,running_shoes,0,13.77,Below Average,1704081300000,-2.17,0.06,8.8,0.38,0.012,0.433,3.04,3.7,3.57,3.46,2.37,2.9,161.0,3.4,418.0,0.27,1.82,1.2,249.0,0.32,6.7,6.7,6.4,69.0,81.0,9.0,heel,189.0,75.0,140.0,118.0
SH0052,P052,30,M,187.5,66.1,synthetic_track,spikes,0,10.81,Very Good,1704081330000,0.58,0.82,9.79,0.048,-0.458,1.124,2.86,2.84,2.77,2.34,4.14,3.7,148.0,3.5,607.0,0.56,1.38,1.02,291.0,0.13,7.7,7.8,8.5,64.0,92.0,23.0,midfoot,186.0,76.0,151.0,119.0
SH0053,P053,20,M,173.7,73.4,rubberized_floor,running_shoes,0,11.74,Good,1704081360000,1.71,0.69,10.05,0.25,-0.323,0.108,3.09,3.08,2.8,2.76,4.07,3.41,170.0,4.3,460.0,0.47,1.63,1.15,253.0,0.36,8.0,7.2,8.3,82.0,126.0,11.0,forefoot,103.0,65.0,134.0,99.0
SH0054,P054,22,F,173.3,55.9,synthetic_track,spikes,0,11.51,Good,1704081390000,1.5,-0.89,9.61,0.373,0.116,-0.749,2.56,2.99,2.74,3.22,3.27,3.48,178.0,3.6,563.0,0.26,1.32,0.98,217.0,0.3,9.5,10.0,7.5,91.0,116.0,15.0,forefoot,309.0,60.0,125.0,103.0
SH0055,P055,34,M,170.6,100.0,rubberized_floor,running_shoes,0,15.02,Below Average,1704081420000,0.4,0.18,9.62,0.166,0.176,0.732,3.61,3.93,3.88,3.61,2.42,2.66,187.0,3.8,482.0,0.32,1.32,1.0,240.0,0.31,7.7,6.4,6.9,95.0,136.0,19.0,forefoot,291.0,76.0,120.0,97.0
SH0056,P056,33,F,163.3,54.3,grass,cross_trainers,0,15.84,Below Average,1704081450000,0.36,0.26,8.87,-0.22,-0.165,-1.137,4.38,3.81,3.91,3.74,2.04,2.53,173.0,4.3,540.0,0.19,1.84,1.07,259.0,0.22,7.9,6.5,6.3,75.0,124.0,21.0,forefoot,283.0,63.0,133.0,105.0
SH0057,P057,25,M,174.2,67.6,grass,turf_shoes,0,12.11,Good,1704081480000,2.03,-0.75,9.04,0.415,-0.05,0.664,2.76,3.04,2.98,3.32,2.73,3.3,161.0,4.3,486.0,0.11,1.73,1.38,213.0,0.14,8.2,9.7,6.2,86.0,139.0,12.0,midfoot,159.0,71.0,130.0,95.0
SH0058,P058,24,F,156.2,45.0,grass,running_shoes,1,15.36,Below Average,1704081510000,-1.74,-0.82,9.0,0.561,0.061,0.056,3.88,3.58,3.82,4.08,2.2,2.6,152.0,3.2,595.0,0.57,1.88,1.2,232.0,0.07,7.8,7.6,8.6,78.0,128.0,16.0,forefoot,336.0,64.0,114.0,96.0
SH0059,P059,34,M,184.3,60.8,synthetic_track,spikes,0,10.78,Very Good,1704081540000,1.89,1.14,10.24,-0.418,-0.049,1.164,2.72,2.69,2.52,2.84,4.11,3.71,179.0,4.2,483.0,0.29,1.82,1.38,269.0,0.25,6.8,8.1,7.1,82.0,128.0,15.0,heel,260.0,63.0,131.0,100.0
SH0060,P060,23,M,175.8,80.0,grass,running_shoes,0,13.62,Below Average,1704081570000,2.03,-0.67,10.47,-0.575,-0.298,-0.758,3.06,3.61,3.57,3.37,3.4,2.94,170.0,4.5,533.0,0.31,1.99,1.2,214.0,0.11,8.5,6.7,9.5,60.0,114.0,17.0,midfoot,367.0,62.0,131.0,112.0
SH0061,P061,26,F,163.9,61.0,gym_floor,turf_shoes,0,13.38,Average,1704081600000,-0.93,-0.09,10.14,-0.065,-0.142,-0.014,3.02,3.2,3.15,4.0,3.38,2.99,144.0,3.7,556.0,0.47,1.72,1.17,297.0,0.27,7.4,9.4,7.9,64.0,121.0,14.0,midfoot,121.0,63.0,138.0,118.0
SH0062,P062,24,M,177.8,63.9,rubberized_floor,basketball_shoes,0,11.86,Good,1704081630000,0.71,0.58,9.53,-0.312,-0.287,-1.12,3.17,3.04,2.85,2.8,3.11,3.37,194.0,4.0,704.0,0.38,1.29,1.07,207.0,0.39,7.8,9.5,8.2,64.0,105.0,9.0,midfoot,375.0,66.0,140.0,119.0
SH0063,P063,18,M,176.6,73.8,grass,running_shoes,0,13.76,Below Average,1704081660000,-1.09,1.12,8.73,0.326,0.041,-0.968,3.27,3.33,3.57,3.58,2.61,2.91,143.0,4.4,473.0,0.53,1.73,1.16,186.0,0.33,9.6,6.7,6.3,61.0,115.0,25.0,midfoot,256.0,61.0,135.0,108.0
SH0064,P064,32,M,170.8,73.2,grass,basketball_shoes,0,15.13,Below Average,1704081690000,1.65,1.14,9.64,0.028,-0.07,-0.439,3.88,3.86,3.84,3.55,2.57,2.64,182.0,3.4,639.0,0.36,1.28,1.03,240.0,0.31,8.0,8.6,9.8,78.0,118.0,9.0,forefoot,209.0,69.0,111.0,93.0
SH0065,P065,25,M,173.2,45.2,grass,spikes,0,12.18,Good,1704081720000,-1.1,-0.88,9.53,-0.791,-0.492,-0.674,3.05,2.94,3.26,2.93,2.67,3.28,164.0,3.1,528.0,0.41,1.29,1.01,255.0,0.4,8.0,9.5,8.0,65.0,96.0,15.0,forefoot,223.0,78.0,147.0,120.0
SH0066,P066,16,M,165.1,81.1,concrete,basketball_shoes,0,14.24,Below Average,1704081750000,2.28,0.96,8.5,0.218,-0.449,-0.582,3.52,3.48,3.34,3.89,2.31,2.81,165.0,4.1,524.0,0.14,1.26,1.01,204.0,0.26,9.8,8.7,8.7,60.0,118.0,24.0,midfoot,362.0,74.0,119.0,86.0
SH0067,P067,25,M,175.5,61.1,grass,cross_trainers,0,12.19,Good,1704081780000,-0.07,0.23,8.59,-0.603,0.059,-0.376,3.17,2.94,2.95,3.12,3.58,3.28,187.0,3.7,628.0,0.5,1.86,1.31,237.0,0.18,9.7,7.7,7.3,81.0,122.0,20.0,forefoot,150.0,69.0,114.0,82.0
SH0068,P068,32,F,157.5,48.4,rubberized_floor,running_shoes,0,13.67,Below Average,1704081810000,-2.37,0.44,9.77,-0.255,-0.428,-0.217,3.82,3.39,3.52,2.94,2.71,2.93,133.0,3.7,533.0,0.11,1.6,1.38,208.0,0.11,7.5,6.2,6.1,61.0,125.0,16.0,forefoot,370.0,62.0,141.0,119.0
SH0069,P069,19,M,176.9,80.8,grass,spikes,0,12.51,Average,1704081840000,-0.8,0.12,8.81,0.086,0.042,0.629,2.79,3.05,3.01,3.65,3.62,3.2,198.0,3.8,450.0,0.27,1.66,0.88,210.0,0.4,7.8,8.5,8.0,91.0,117.0,18.0,midfoot,160.0,68.0,109.0,85.0
SH0070,P070,28,M,163.1,51.7,synthetic_track,basketball_shoes,0,11.95,Good,1704081870000,2.32,1.23,9.94,0.053,0.37,-0.886,3.3,2.82,2.97,2.85,3.74,3.35,199.0,3.7,559.0,0.53,1.67,1.03,208.0,0.23,7.1,6.8,9.0,77.0,115.0,23.0,heel,222.0,77.0,147.0,121.0
SH0071,P071,16,F,170.2,56.0,gym_floor,cross_trainers,0,13.21,Average,1704081900000,0.05,0.38,10.35,-0.769,-0.023,0.451,3.54,3.19,3.15,3.33,3.3,3.03,178.0,3.0,486.0,0.6,1.74,1.3,275.0,0.31,7.2,6.1,9.0,65.0,125.0,21.0,midfoot,330.0,77.0,141.0,125.0
SH0072,P072,26,F,169.0,49.8,rubberized_floor,cross_trainers,0,12.91,Average,1704081930000,-0.46,-0.28,8.63,-0.242,-0.389,0.74,2.9,3.23,3.38,3.4,3.65,3.1,164.0,3.1,531.0,0.14,1.52,0.98,289.0,0.19,6.9,7.1,9.2,92.0,99.0,16.0,forefoot,292.0,80.0,144.0,122.0
SH0073,P073,22,M,168.2,74.0,gym_floor,turf_shoes,1,11.89,Good,1704081960000,0.43,0.37,8.64,0.292,-0.258,0.513,3.17,2.86,2.97,2.89,3.8,3.37,157.0,3.2,552.0,0.41,1.24,1.25,157.0,0.15,7.3,6.0,8.0,85.0,84.0,22.0,forefoot,174.0,75.0,127.0,110.0
SH0074,P074,25,F,169.0,45.0,gym_floor,basketball_shoes,0,13.36,Average,1704081990000,1.71,-0.56,10.08,0.627,-0.066,0.984,3.25,3.41,3.45,3.25,2.85,2.99,125.0,3.3,579.0,0.46,1.73,1.38,195.0,0.09,9.0,9.8,8.8,87.0,119.0,9.0,forefoot,387.0,70.0,127.0,103.0
SH0075,P075,18,F,158.1,45.8,synthetic_track,turf_shoes,0,12.25,Good,1704082020000,1.34,-0.25,10.14,0.561,-0.288,0.378,2.91,2.88,3.14,3.32,3.23,3.27,166.0,3.5,598.0,0.42,1.52,1.23,205.0,0.07,6.8,9.6,7.1,64.0,111.0,13.0,midfoot,104.0,68.0,121.0,106.0
SH0076,P076,29,F,161.0,55.7,grass,cross_trainers,0,14.76,Below Average,1704082050000,-0.04,-0.29,9.56,0.152,-0.49,-0.086,3.93,3.7,3.97,3.15,3.21,2.71,132.0,3.0,585.0,0.49,1.85,0.87,266.0,0.23,7.1,6.1,7.2,72.0,102.0,8.0,forefoot,294.0,79.0,153.0,138.0
